ParentSKU,Description,Active,DeliveryGroup,SortOrder,Notes,BatterySKU1,BatteryQty1,BatterySKU2,BatteryQty2,BatterySKU3,BatteryQty3,ChargerSKU1,ChargerQty1,ChargerSKU2,ChargerQty2,ChargerSKU3,ChargerQty3,AttachmentSKU1,AttachmentQty1,AttachmentSKU2,AttachmentQty2,AttachmentSKU3,AttachmentQty3,AccessorySKU1,AccessoryQty1,PartSKU1,PartQty1
WA42 211 0000 US,STIHL RMA453PV w/AP300S Battery & AL301,T,WALKBEHIND,244,,4850 430 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
6372 200 0047,STIHL RMA510 w/AP300S Battery & AL301 Charger,T,WALKBEHIND,248,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
6372 200 0050,STIHL RMA510V w/AP300S Battery & AL101,T,WALKBEHIND,250,,4850 400 6586,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
6372 200 0048,STIHL RMA510V w/AP300S Battery & AL301,T,WALKBEHIND,251,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
WA72 211 0000 US,STIHL RMA7.0RV w/2 Each of AP500S & AL301,T,WALKBEHIND,253,,EA01 400 6506,2,,,,,EA09 430 5502,2,,,,,,,,,,,,,,
WA71 211 0000 US,STIHL RMA756.0V w/2 Each of AP500S & AL301,T,WALKBEHIND,255,,EA01 400 6506,2,,,,,EA09 430 5502,2,,,,,,,,,,,,,,
6392 200 0022,STIHL RMA765V w/AR3000L Battery & AL501,T,WALKBEHIND,257,,4871 400 6521,1,,,,,E09 430 5702,1,,,,,,,,,,,,,,
SA03 011 7311 US,STIHL SEA20.0 w/AS2 Battery & AL1 Charger,T,HANDHELD,261,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
SA04 211 0000 US,STIHL SEA60 w/AK20 Battery & AL101 Charger,T,HANDHELD,263,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
SA04 211 0002 US,STIHL SEA100.0 w/AP300 Battery & AL301,T,HANDHELD,265,,4850 400 6586,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
KA03 211 0000 US,STIHL SFA120 w/AP200P Battery and AL301 ,T,HANDHELD,269,,EA13 400 6511,1,,,,,EA09 430 5502,1,,,,,,,,,,,,,,
SA09 011 7011 US,STIHL SGA30.0 w/AS2 Battery & AL1 Charger,T,HANDHELD,272,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
SA10 011 7011 US,STIHL SGA60.0 w/AK10 Battery & AL101 Charger,T,HANDHELD,273,,4520 400 6531,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
SA02 200 0011,STIHL SHA56 w/AK20 Battery & AL101 Charger,T,HANDHELD,281,,4520 400 6536,1,,,,,4850 430 2522,1,,,,,,,,,,,,,,
VA14 011 9611 US,STIHL TPA20 w/2 AS2 Batteries and AL1,T,HANDHELD,285,,EA02 400 6501,2,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
SA09 011 8511 US,STIHL WSA40.0 w/AS2 Battery & AL1 Charger,T,HANDHELD,295,,EA02 400 6501,1,,,,,EA03 430 2502,1,,,,,,,,,,,,,,
